"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 07 16:20:09 CST 2022","Fri Oct 07 16:20:09 CST 2022","134","testcases.tag","test_tag","TestWeChatTag","","","我叫xx","我是描述信息1"
"failed","Fri Oct 07 16:20:08 CST 2022","Fri Oct 07 16:20:09 CST 2022","235","testcases.login","test_login","TestWeChatLogin","","","正常获取token","获取token"
"failed","Fri Oct 07 16:20:09 CST 2022","Fri Oct 07 16:20:09 CST 2022","90","testcases.login","test_login","TestWeChatLogin","","","post获取","获取token"
"failed","Fri Oct 07 16:20:09 CST 2022","Fri Oct 07 16:20:10 CST 2022","139","testcases.tag","test_tag","TestWeChatTag","","","我叫dd","我是描述信息2"
"failed","Fri Oct 07 16:20:09 CST 2022","Fri Oct 07 16:20:09 CST 2022","92","testcases.login","test_login","TestWeChatLogin","","","缺失secret","获取token"
"failed","Fri Oct 07 16:20:10 CST 2022","Fri Oct 07 16:20:10 CST 2022","107","testcases.tag","test_tag","TestWeChatTag","","","我叫cc","我是描述信息3"
"failed","Fri Oct 07 16:20:09 CST 2022","Fri Oct 07 16:20:09 CST 2022","71","testcases.login","test_login","TestWeChatLogin","","","缺失appid","获取token"
"failed","Fri Oct 07 16:20:09 CST 2022","Fri Oct 07 16:20:09 CST 2022","79","testcases.login","test_login","TestWeChatLogin","","","缺失grant_type","获取token"
"failed","Fri Oct 07 16:20:10 CST 2022","Fri Oct 07 16:20:10 CST 2022","132","testcases.tag","test_tag","TestWeChatTag","","","我叫bb","我是描述信息4"
